Time,Alloy,Scenario,Values
1926.0,Primary castings,Scenario1,0.0
1926.0,Primary castings,Scenario2,0.0
1926.0,Primary castings,Scenario3,0.0
1926.0,Primary castings,Scenario4,0.0
1926.0,Secondary castings,Baseline,0.0
1926.0,Secondary castings,Scenario1,0.0
1926.0,Secondary castings,Scenario2,0.0
1926.0,Secondary castings,Scenario3,0.0
1926.0,Secondary castings,Scenario4,0.0
1927.0,Wrought,Baseline,0.0
1927.0,Wrought,Scenario1,0.0
1927.0,Wrought,Scenario2,0.0
1927.0,Wrought,Scenario3,0.0
1927.0,Wrought,Scenario4,0.0
1927.0,Primary castings,Baseline,0.0
1927.0,Primary castings,Scenario1,0.0
1927.0,Primary castings,Scenario2,0.0
1927.0,Primary castings,Scenario3,0.0
1927.0,Primary castings,Scenario4,0.0
1927.0,Secondary castings,Baseline,0.0
1927.0,Secondary castings,Scenario1,0.0
1927.0,Secondary castings,Scenario2,0.0
1927.0,Secondary castings,Scenario3,0.0
1927.0,Secondary castings,Scenario4,0.0
1928.0,Wrought,Baseline,0.0
1928.0,Wrought,Scenario1,0.0
1928.0,Wrought,Scenario2,0.0
1928.0,Wrought,Scenario3,0.0
1928.0,Wrought,Scenario4,0.0
1928.0,Primary castings,Baseline,0.0
1928.0,Primary castings,Scenario1,0.0
1928.0,Primary castings,Scenario2,0.0
1928.0,Primary castings,Scenario3,0.0
1928.0,Primary castings,Scenario4,0.0
1928.0,Secondary castings,Baseline,0.0
1928.0,Secondary castings,Scenario1,0.0
1928.0,Secondary castings,Scenario2,0.0
1928.0,Secondary castings,Scenario3,0.0
1928.0,Secondary castings,Scenario4,0.0
1929.0,Wrought,Baseline,0.0
1929.0,Wrought,Scenario1,0.0
1929.0,Wrought,Scenario2,0.0
1929.0,Wrought,Scenario3,0.0
1929.0,Wrought,Scenario4,0.0
1929.0,Primary castings,Baseline,0.0
1929.0,Primary castings,Scenario1,0.0
1929.0,Primary castings,Scenario2,0.0
1929.0,Primary castings,Scenario3,0.0
1929.0,Primary castings,Scenario4,0.0
1929.0,Secondary castings,Baseline,0.0
1929.0,Secondary castings,Scenario1,0.0
1929.0,Secondary castings,Scenario2,0.0
1929.0,Secondary castings,Scenario3,0.0
1929.0,Secondary castings,Scenario4,0.0
1930.0,Wrought,Baseline,0.0
1930.0,Wrought,Scenario1,0.0
1930.0,Wrought,Scenario2,0.0
1930.0,Wrought,Scenario3,0.0
1930.0,Wrought,Scenario4,0.0
1930.0,Primary castings,Baseline,0.0
1930.0,Primary castings,Scenario1,0.0
1930.0,Primary castings,Scenario2,0.0
1930.0,Primary castings,Scenario3,0.0
1930.0,Primary castings,Scenario4,0.0
1930.0,Secondary castings,Baseline,0.0
1930.0,Secondary castings,Scenario1,0.0
1930.0,Secondary castings,Scenario2,0.0
1930.0,Secondary castings,Scenario3,0.0
1930.0,Secondary castings,Scenario4,0.0
1931.0,Wrought,Baseline,0.0
1931.0,Wrought,Scenario1,0.0
1931.0,Wrought,Scenario2,0.0
